Value,Date,Sub-Sector,Super Region,UNIT,Sub-Sector Level 2,Source,TIME LEVEL,Value,Date,Sub-Sector,Super Region,UNIT,Sub-Sector Level 2,Source,TIME LEVEL
1.64,2018-03-02,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,1.64,2018-03-02,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
2.39,2019-07-22,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,2.39,2019-07-22,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
1.58,2018-03-05,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,1.58,2018-03-05,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
0.23,2015-12-09,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,0.23,2015-12-09,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
2.32,2019-07-12,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,2.32,2019-07-12,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
2.38,2019-07-15,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,2.38,2019-07-15,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
2.27,2019-07-17,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,2.27,2019-07-17,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
2.29,2019-07-16,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,2.29,2019-07-16,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
2.33,2019-07-19,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,2.33,2019-07-19,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
2.27,2019-07-18,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,2.27,2019-07-18,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
0.43,2016-04-28,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,0.43,2016-04-28,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
0.44,2016-04-27,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,0.44,2016-04-27,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
0.34,2016-04-29,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,0.34,2016-04-29,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
0.44,2016-04-26,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,0.44,2016-04-26,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
0.44,2016-04-25,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,0.44,2016-04-25,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
0.3,2015-12-14,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,0.3,2015-12-14,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
0.1,2021-01-14,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,0.1,2021-01-14,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
0.1,2020-08-17,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,,0.1,2020-08-17,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT,1-MONTH FINANCIAL COMMERCIAL PAPER,US FEDERAL RESERVES,
