Value,Date,Sub-Sector,Super Region,UNIT,Sub-Sector Level 2,Source,TIME LEVEL,Value,Date,Sub-Sector,Super Region,UNIT,Sub-Sector Level 2,Source,TIME LEVEL
1.01,2020-08-07,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.01,2020-08-07,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
3.04,2018-03-07,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,3.04,2018-03-07,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.61,2021-01-25,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.61,2021-01-25,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
0.98,2020-08-06,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,0.98,2020-08-06,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
3.03,2018-03-06,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,3.03,2018-03-06,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.66,2021-01-22,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.66,2021-01-22,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.0,2020-08-05,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.0,2020-08-05,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
3.04,2018-03-09,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,3.04,2018-03-09,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
0.96,2020-08-04,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,0.96,2020-08-04,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
3.01,2018-03-08,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,3.01,2018-03-08,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.65,2021-01-20,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.65,2021-01-20,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.68,2021-01-21,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.68,2021-01-21,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.97,2018-03-01,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.97,2018-03-01,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.01,2020-08-03,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.01,2020-08-03,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
3.02,2018-03-02,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,3.02,2018-03-02,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.36,2019-07-22,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.36,2019-07-22,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
3.04,2018-03-05,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,3.04,2018-03-05,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.42,2019-07-12,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.42,2019-07-12,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.39,2019-07-15,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.39,2019-07-15,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.35,2019-07-17,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.35,2019-07-17,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.42,2019-07-16,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.42,2019-07-16,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.35,2019-07-19,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.35,2019-07-19,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.34,2019-07-18,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.34,2019-07-18,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.65,2021-01-19,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.65,2021-01-19,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.66,2021-01-15,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.66,2021-01-15,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.63,2021-01-13,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.63,2021-01-13,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.16,2020-08-18,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.16,2020-08-18,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.69,2021-01-14,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.69,2021-01-14,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.19,2020-08-17,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.19,2020-08-17,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.68,2021-01-11,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.68,2021-01-11,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.68,2021-01-12,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.68,2021-01-12,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.2,2020-08-19,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.2,2020-08-19,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.04,2020-08-10,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.04,2020-08-10,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.21,2020-08-14,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.21,2020-08-14,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.31,2019-07-31,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.31,2019-07-31,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.2,2020-08-13,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.2,2020-08-13,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.36,2019-07-30,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.36,2019-07-30,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.15,2020-08-12,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.15,2020-08-12,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.1,2020-08-11,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.1,2020-08-11,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.36,2019-07-24,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.36,2019-07-24,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.38,2019-07-23,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.38,2019-07-23,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.38,2019-07-26,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.38,2019-07-26,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.38,2019-07-25,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.38,2019-07-25,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.37,2019-07-29,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.37,2019-07-29,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.67,2021-01-08,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.67,2021-01-08,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.6,2021-01-06,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.6,2021-01-06,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.64,2021-01-07,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.64,2021-01-07,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.46,2021-01-04,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.46,2021-01-04,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
1.49,2021-01-05,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,1.49,2021-01-05,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.85,2018-03-29,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.85,2018-03-29,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.89,2018-03-28,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.89,2018-03-28,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,20-YEAR TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
