Value,Date,Sub-Sector,Super Region,UNIT,Sub-Sector Level 2,Source,TIME LEVEL,Value,Date,Sub-Sector,Super Region,UNIT,Sub-Sector Level 2,Source,TIME LEVEL
0.08,2021-01-11,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,0.08,2021-01-11,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
0.09,2021-01-12,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,0.09,2021-01-12,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
0.11,2020-08-19,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,0.11,2020-08-19,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
0.11,2020-08-10,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,0.11,2020-08-10,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
0.1,2020-08-14,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,0.1,2020-08-14,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.08,2019-07-31,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.08,2019-07-31,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
0.1,2020-08-13,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,0.1,2020-08-13,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.08,2019-07-30,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.08,2019-07-30,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
0.11,2020-08-12,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,0.11,2020-08-12,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
0.11,2020-08-11,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,0.11,2020-08-11,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.1,2019-07-24,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.1,2019-07-24,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
2.06,2019-07-23,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,,2.06,2019-07-23,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,3-MONTH TREASURY CONSTANT MATURITY,US FEDERAL RESERVES,
